puesto_ord,sex_ Male,sex_ Female,age,rango_edad,hours-per-week,educacion_superior,education-num,marital-status_Casado/a (civil),occ_ord,edad_ajustada,horas_puesto,marital-status_Nunca casado/a,income
2,True,False,39,2,40,1,13,False,4,507,160,True,0
5,True,False,50,3,13,1,13,True,15,650,195,False,0
2,True,False,38,2,40,0,9,False,2,342,80,False,0
2,True,False,53,3,40,0,7,True,2,371,80,False,0
2,False,True,28,1,40,1,13,True,17,364,680,False,0
2,False,True,37,2,40,1,14,True,15,518,600,False,0
2,False,True,49,3,16,0,5,False,1,245,16,False,0
5,True,False,52,3,45,0,9,True,15,468,675,False,1
2,False,True,31,1,50,1,14,False,17,434,850,True,1
2,True,False,42,2,40,1,13,True,15,546,600,False,1
2,True,False,37,2,80,0,10,True,15,370,1200,False,1
2,True,False,30,1,40,1,13,True,17,390,680,False,1
2,False,True,23,0,30,1,13,False,4,299,120,True,0
2,True,False,32,1,50,0,12,False,10,384,500,True,0
2,True,False,40,2,40,0,11,True,6,440,240,False,1
2,True,False,34,1,45,0,4,True,4,136,180,False,0
5,True,False,25,0,35,0,9,False,5,225,175,True,0
2,True,False,32,1,40,0,9,False,3,288,120,True,0
2,True,False,38,2,50,0,7,True,10,266,500,False,0
5,False,True,43,2,45,1,14,False,15,602,675,False,1
2,True,False,40,2,60,1,16,True,17,640,1020,False,1
2,False,True,54,3,20,0,9,False,1,486,20,False,0
2,True,False,35,1,40,0,5,True,5,175,200,False,0
2,True,False,43,2,40,0,7,True,4,301,160,False,0
2,False,True,59,4,40,0,9,False,7,531,280,False,0
3,True,False,56,4,40,1,13,True,7,728,280,False,1
2,True,False,19,0,40,0,9,False,6,171,240,True,0
1,True,False,54,3,60,0,10,True,5,540,300,False,1
2,True,False,39,2,80,0,9,False,15,351,1200,False,0
2,True,False,49,3,40,0,9,True,6,441,240,False,0
3,True,False,23,0,52,0,12,False,7,276,364,True,0
2,True,False,20,0,44,0,10,False,10,200,440,True,0
2,True,False,45,2,40,1,13,False,15,585,600,False,0
2,True,False,30,1,40,0,10,True,4,300,160,False,0
2,True,False,22,0,15,0,10,True,1,220,15,False,0
2,True,False,48,3,40,0,7,False,3,336,120,True,0
2,True,False,21,0,40,0,10,False,3,210,120,True,0
2,False,True,19,0,25,0,9,False,4,171,100,False,0
2,True,False,31,1,38,0,10,True,10,310,380,False,1
5,True,False,48,3,40,0,12,True,17,576,680,False,0
2,True,False,31,1,43,0,5,True,3,155,129,False,0
5,True,False,53,3,40,1,13,True,17,689,680,False,0
2,True,False,24,0,50,1,13,True,7,312,350,False,0
2,False,True,49,3,40,0,9,False,4,441,160,False,0
2,True,False,25,0,35,0,9,False,2,225,70,True,0
2,True,False,57,4,40,1,13,True,17,741,680,False,1
2,True,False,53,3,38,0,9,True,3,477,114,False,0
2,False,True,44,2,40,1,14,False,15,616,600,False,0
2,True,False,41,2,40,0,11,True,6,451,240,False,0
2,True,False,29,1,43,0,11,False,17,319,731,True,0
2,False,True,25,0,40,0,10,True,15,250,600,False,0
2,False,True,18,0,30,0,9,False,1,162,30,True,0
2,False,True,47,3,60,1,15,True,17,705,1020,False,1
2,True,False,50,3,55,1,13,False,15,650,825,False,1
10,True,False,47,3,60,0,9,False,15,423,900,False,0
2,True,False,43,2,40,0,10,True,7,430,280,False,1
2,True,False,46,3,40,0,3,True,3,138,120,False,0
2,True,False,35,1,40,0,11,True,1,385,40,False,0
2,True,False,41,2,48,0,9,True,4,369,192,False,0
2,True,False,30,1,40,0,9,True,3,270,120,False,0
2,True,False,30,1,40,1,13,True,10,390,400,False,0
1,True,False,32,1,40,0,4,False,5,128,200,False,0
2,True,False,48,3,40,0,9,True,4,432,160,False,0
2,True,False,42,2,45,1,16,True,17,672,765,False,1
2,True,False,29,1,58,0,10,False,7,290,406,False,0
2,True,False,36,2,40,0,9,True,6,324,240,False,0
2,False,True,28,1,40,0,10,False,4,280,160,False,0
2,False,True,53,3,40,0,9,True,4,477,160,False,1
10,True,False,49,3,50,0,10,True,15,490,750,False,1
1,True,False,25,0,40,0,10,False,5,250,200,True,0
2,True,False,19,0,32,0,10,False,17,190,544,True,0
2,False,True,31,1,40,1,13,False,10,403,400,False,0
5,True,False,29,1,70,1,13,True,10,377,700,False,1
2,True,False,23,0,40,0,10,False,3,230,120,True,0
2,True,False,79,5,20,0,10,True,17,790,340,False,0
2,True,False,27,1,40,0,9,False,1,243,40,True,0
2,True,False,40,2,40,0,12,True,4,480,160,False,0
1,True,False,67,5,2,0,6,True,5,402,10,False,0
2,False,True,18,0,22,0,7,False,1,126,22,True,0
3,True,False,31,1,40,0,4,True,5,124,200,False,0
2,True,False,18,0,30,0,9,False,10,162,300,True,0
2,True,False,52,3,40,1,13,True,1,676,40,False,0
2,False,True,46,3,40,0,9,True,1,414,40,False,0
2,True,False,59,4,48,0,9,True,10,531,480,False,0
2,False,True,44,2,40,0,9,False,6,396,240,False,1
2,False,True,53,3,35,0,9,False,10,477,350,False,0
3,True,False,49,3,40,0,9,True,7,441,280,False,1
2,True,False,33,1,50,1,14,True,17,462,850,False,0
2,True,False,30,1,40,0,5,False,10,150,400,True,0
2,False,True,43,2,50,1,16,False,17,688,850,True,1
2,True,False,57,4,40,0,11,True,17,627,680,False,0
